regelverk_id,title,description,body
1290347891280347asdlfkjsalkdfjsladkjf,UDI 2024-001 Adgang til å fremme søknad om familieinnvandring fra Norge på vegne av familiemedlem som er palestiner fra Gaza,"På grunn av sikkerhets- og den humanitære situasjonen på Gaza, og det forhold at søknad ikke kan fremmes på annen måte, åpnes det for at referansepersonen i Norge kan fremme søknad om familieinnvandring på vegne av palestiner som oppholder seg på Gaza. Retningslinjen gir detaljer rundt søknadsprosessen i disse tilfellene, ID-kontroll, utstedelse av innreisevisum og effektuering av vedtak. Retningslinjen regulerer i utgangspunktet ikke hvordan søknadene skal behandles.","Situasjonen i Gaza gjør at personer som oppholder seg der ikke har mulighet til å møte personlig ved søknadssenter underlagt den norske ambassaden i Amman som har ansvaret for å ta imot søknader for personer fra de palestinske områdene."
19238479812374asdflkjsadflkj,UDI 2013-018 Fremgangsmåten ved søknad om oppholdstillatelse,"Retningslinjer for hvordan søknader om oppholdstillatelse skal fremmes og konsekvensene det får dersom søknaden ikke er levert på riktig måte.","Denne retningslinjen gir nærmere retningslinjer for hvordan søknader om oppholdstillatelse skal fremmes, jf. utlendingsloven (utl.) § 56 og utlendingsforskriften (utf.) § 10-2 og § 10-27. Retningslinjen gir også retningslinjer for hvordan søknader skal behandles dersom riktig fremgangsmåte ikke er fulgt."
